0,fox,1,2
1,monopoly,1,2
2,python,1,2
3,bicycle,1,2
4,hotwheels,1,2
5,twister,1,2
6,twister,1,2
7,whale,1,2
8,twister,1,2
9,lego,1,2
10,tux,1,2
11,whale,1,2
12,barbie,1,2
13,chess,1,2
14,lego,1,2
15,frisbee,1,2
16,whale,1,2
17,python,1,2
18,monopoly,1,2
19,tux,1,2
20,frisbee,1,2
21,lego,1,2
22,monopoly,1,2
23,jumprope,1,2
24,tux,1,2
25,fox,1,2
26,barbie,1,2
27,barbie,1,2
28,chess,1,2
29,tux,1,2
30,bicycle,1,2
31,monopoly,1,2
32,hotwheels,1,2
33,fox,1,2
34,chess,1,2
35,chess,1,2
36,hotwheels,1,2
37,twister,1,2
38,jumprope,1,2
39,twister,1,2
40,hotwheels,1,2
41,tux,1,2
42,twister,1,2
43,bicycle,1,2
44,bicycle,1,2
45,lego,1,2
46,hotwheels,1,2
47,twister,1,2
48,bicycle,1,2
49,hotwheels,1,2
50,lego,1,2
51,barbie,1,2
52,chess,1,2
53,lego,1,2
54,lego,1,2
55,bicycle,1,2
56,chess,1,2
57,chess,1,2
58,twister,1,2
59,chess,1,2
60,chess,1,2
61,hotwheels,1,2
62,monopoly,1,2
63,tux,1,2
64,barbie,1,2
65,monopoly,1,2
66,hotwheels,1,2
67,fox,1,2
68,monopoly,1,2
69,barbie,1,2
70,barbie,1,2
71,lego,1,2
72,lego,1,2
73,lego,1,2
74,tux,1,2
75,jumprope,1,2
76,chess,1,2
77,chess,1,2
78,chess,1,2
79,twister,1,2
80,hotwheels,1,2
81,lego,1,2
82,twister,1,2
83,chess,1,2
84,barbie,1,2
85,hotwheels,1,2
86,chess,1,2
87,monopoly,1,2
88,barbie,1,2
89,fox,1,2
90,monopoly,1,2
91,monopoly,1,2
92,lego,1,2
93,bicycle,1,2
94,monopoly,1,2
95,twister,1,2
96,lego,1,2
97,monopoly,1,2
98,twister,1,2
99,monopoly,1,2
100,jumprope,1,2
101,twister,1,2
102,tux,1,2
103,chess,1,2
104,monopoly,1,2
105,monopoly,1,2
106,bicycle,1,2
107,fox,1,2
108,jumprope,1,2
109,monopoly,1,2
110,lego,1,2
111,twister,1,2
112,hotwheels,1,2
113,lego,1,2
114,monopoly,1,2
115,hotwheels,1,2
116,jumprope,1,2
117,lego,1,2
118,chess,1,2
119,bicycle,1,2
120,twister,1,2
121,jumprope,1,2
122,hotwheels,1,2
123,lego,1,2
124,jumprope,1,2
125,lego,1,2
126,tux,1,2
127,monopoly,1,2
128,twister,1,2
129,lego,1,2
130,chess,1,2
131,lego,1,2
132,fox,1,2
133,fox,1,2
134,twister,1,2
135,jumprope,1,2
136,jumprope,1,2
137,hotwheels,1,2
138,bicycle,1,2
139,fox,1,2
140,jumprope,1,2
141,hotwheels,1,2
142,chess,1,2
143,twister,1,2
144,tux,1,2
145,chess,1,2
146,monopoly,1,2
147,monopoly,1,2
148,monopoly,1,2
149,monopoly,1,2
150,hotwheels,1,2
151,twister,1,2
152,monopoly,1,2
153,tux,1,2
154,monopoly,1,2
155,bicycle,1,2
156,twister,1,2
157,chess,1,2
158,jumprope,1,2
159,bicycle,1,2
160,chess,1,2
161,fox,1,2
162,twister,1,2
163,bicycle,1,2
164,jumprope,1,2
165,fox,1,2
166,twister,1,2
167,lego,1,2
168,chess,1,2
169,fox,1,2
170,monopoly,1,2
171,monopoly,1,2
172,bicycle,1,2
173,monopoly,1,2
174,monopoly,1,2
175,chess,1,2
176,monopoly,1,2
177,monopoly,1,2
178,tux,1,2
179,tux,1,2
180,fox,1,2
181,twister,1,2
182,bicycle,1,2
183,jumprope,1,2
184,fox,1,2
185,fox,1,2
186,bicycle,1,2
187,chess,1,2
188,jumprope,1,2
189,tux,1,2
190,tux,1,2
191,hotwheels,1,2
192,chess,1,2
193,bicycle,1,2
194,jumprope,1,2
195,jumprope,1,2
196,tux,1,2
197,bicycle,1,2
198,monopoly,1,2
199,bicycle,1,2
200,monopoly,1,2
201,jumprope,1,2
202,chess,1,2
203,bicycle,1,2
204,jumprope,1,2
205,fox,1,2
206,fox,1,2
207,chess,1,2
208,hotwheels,1,2
209,tux,1,2
210,hotwheels,1,2
211,fox,1,2
212,monopoly,1,2
213,tux,1,2
214,chess,1,2
215,lego,1,2
216,jumprope,1,2
217,jumprope,1,2
218,twister,1,2
219,hotwheels,1,2
220,fox,1,2
221,lego,1,2
222,jumprope,1,2
223,lego,1,2
224,lego,1,2
225,fox,1,2
226,monopoly,1,2
227,twister,1,2
228,fox,1,2
229,fox,1,2
230,bicycle,1,2
231,bicycle,1,2
232,tux,1,2
233,fox,1,2
234,fox,1,2
235,tux,1,2
236,fox,1,2
